{'con1': 4, 'con2': 8, 'con3': 8, 'con4': 4, 'con5': 4, 'RCAB1': [4, 4], 'decon4': [4, 8], 'RCAB2': [12, 16], 'decon5': [4, 8], 'RCAB3': [12, 12], 'decon6': [8, 8], 'RCAB4': [8, 4], 'decon7': [4, 4], 'decon8': [4, 8]}:epoch[200]:---flops: 85.296K---params: 0.000B---Psnr_score: 17.632593223392554---Ssim_score:0.6640801446230579---uiqm_va: 0.7090258548184715---uciqe_va:27.530429679180344
{'con1': 8, 'con2': 8, 'con3': 4, 'con4': 8, 'con5': 4, 'RCAB1': [4, 8], 'decon4': [8, 4], 'RCAB2': [16, 16], 'decon5': [8, 8], 'RCAB3': [12, 8], 'decon6': [4, 4], 'RCAB4': [12, 8], 'decon7': [4, 8], 'decon8': [4, 4]}:epoch[200]:---flops: 64.808K---params: 0.000B---Psnr_score: 17.804854873136573---Ssim_score:0.6357582524111571---uiqm_va: 0.7013205910975899---uciqe_va:28.27103263816337
{'con1': 4, 'con2': 8, 'con3': 4, 'con4': 4, 'con5': 8, 'RCAB1': [4, 8], 'decon4': [4, 8], 'RCAB2': [8, 4], 'decon5': [4, 4], 'RCAB3': [8, 16], 'decon6': [4, 8], 'RCAB4': [8, 16], 'decon7': [8, 8], 'decon8': [4, 8]}:epoch[200]:---flops: 77.356K---params: 0.000B---Psnr_score: 18.13476419420842---Ssim_score:0.6680351348034597---uiqm_va: 0.7501810269291181---uciqe_va:27.901718725420004
{'con1': 4, 'con2': 8, 'con3': 8, 'con4': 8, 'con5': 4, 'RCAB1': [4, 8], 'decon4': [4, 4], 'RCAB2': [16, 8], 'decon5': [4, 8], 'RCAB3': [8, 12], 'decon6': [8, 8], 'RCAB4': [16, 16], 'decon7': [8, 8], 'decon8': [4, 8]}:epoch[200]:---flops: 85.296K---params: 0.000B---Psnr_score: 17.84365276826448---Ssim_score:0.6706677538261546---uiqm_va: 0.714333339119603---uciqe_va:27.912040881394727
{'con1': 8, 'con2': 8, 'con3': 4, 'con4': 8, 'con5': 4, 'RCAB1': [4, 4], 'decon4': [8, 4], 'RCAB2': [8, 8], 'decon5': [4, 4], 'RCAB3': [8, 12], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[200]:---flops: 60.708K---params: 0.000B---Psnr_score: 18.578094186228356---Ssim_score:0.6803906509675758---uiqm_va: 0.7442675517371452---uciqe_va:28.830879897205076
{'con1': 8, 'con2': 4, 'con3': 8, 'con4': 4, 'con5': 8, 'RCAB1': [8, 4], 'decon4': [4, 4], 'RCAB2': [12, 8], 'decon5': [8, 4], 'RCAB3': [16, 8], 'decon6': [4, 8], 'RCAB4': [8, 16], 'decon7': [8, 4], 'decon8': [4, 8]}:epoch[200]:---flops: 64.040K---params: 0.000B---Psnr_score: 17.990513465293358---Ssim_score:0.6498073872911498---uiqm_va: 0.7303634338543443---uciqe_va:27.69191210854821
{'con1': 8, 'con2': 4, 'con3': 8, 'con4': 4, 'con5': 8, 'RCAB1': [8, 4], 'decon4': [4, 8], 'RCAB2': [16, 4], 'decon5': [8, 8], 'RCAB3': [16, 8], 'decon6': [8, 8], 'RCAB4': [12, 4], 'decon7': [4, 4], 'decon8': [8, 4]}:epoch[200]:---flops: 69.168K---params: 0.000B---Psnr_score: 17.584269630280374---Ssim_score:0.6391913233451522---uiqm_va: 0.6881187939342969---uciqe_va:27.601380496767568
{'con1': 4, 'con2': 8, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [4, 8], 'decon4': [8, 8], 'RCAB2': [4, 12], 'decon5': [4, 8], 'RCAB3': [16, 8], 'decon6': [4, 4], 'RCAB4': [4, 8], 'decon7': [8, 4], 'decon8': [8, 8]}:epoch[200]:---flops: 64.808K---params: 0.000B---Psnr_score: 18.147120500748173---Ssim_score:0.6721720919651397---uiqm_va: 0.7055823674696904---uciqe_va:28.365906035037185
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [4, 8], 'decon4': [8, 8], 'RCAB2': [4, 12], 'decon5': [4, 8], 'RCAB3': [4, 4], 'decon6': [8, 4], 'RCAB4': [12, 4], 'decon7': [4, 4], 'decon8': [4, 4]}:epoch[200]:---flops: 48.420K---params: 0.000B---Psnr_score: 17.758485973565953---Ssim_score:0.642847718712515---uiqm_va: 0.6524029986834549---uciqe_va:27.983116438328256
{'con1': 4, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [4, 4], 'decon4': [8, 8], 'RCAB2': [4, 16], 'decon5': [8, 4], 'RCAB3': [16, 8], 'decon6': [8, 8], 'RCAB4': [8, 12], 'decon7': [4, 8], 'decon8': [8, 8]}:epoch[200]:---flops: 60.708K---params: 0.000B---Psnr_score: 17.901186282026504---Ssim_score:0.6463658888642302---uiqm_va: 0.6972146057973739---uciqe_va:27.757477084993695
{'con1': 8, 'con2': 8, 'con3': 8, 'con4': 4, 'con5': 8, 'RCAB1': [4, 4], 'decon4': [8, 4], 'RCAB2': [8, 8], 'decon5': [4, 8], 'RCAB3': [12, 16], 'decon6': [8, 4], 'RCAB4': [8, 12], 'decon7': [8, 8], 'decon8': [8, 4]}:epoch[200]:---flops: 68.140K---params: 0.000B---Psnr_score: 18.534119449936075---Ssim_score:0.6605639840097559---uiqm_va: 0.7346754296796351---uciqe_va:28.282515643731042
