{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[1]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.52566687876402---Ssim_score:0.6070502142416139---uiqm_va: 0.6610505048723494---uciqe_va:28.30135339545161
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[2]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.552129098740767---Ssim_score:0.6115970740474828---uiqm_va: 0.682908159414564---uciqe_va:28.445666411689956
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[3]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.64324936149865---Ssim_score:0.6160108696686425---uiqm_va: 0.6503397243449915---uciqe_va:28.20413765348754
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[4]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.61018408107387---Ssim_score:0.6186675981564244---uiqm_va: 0.6669208805707496---uciqe_va:28.138549569975268
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[5]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.450430937651223---Ssim_score:0.6170144275711874---uiqm_va: 0.6552995568973372---uciqe_va:28.539185359988178
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[6]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.628835670602466---Ssim_score:0.6210596927937951---uiqm_va: 0.64606762071035---uciqe_va:27.877676257279845
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[7]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.475766496885505---Ssim_score:0.6199142467517571---uiqm_va: 0.6835515784956849---uciqe_va:28.611385467027908
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[8]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.560980052633425---Ssim_score:0.6234430661814517---uiqm_va: 0.652573052940929---uciqe_va:28.8180633414623
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[9]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.663881826303584---Ssim_score:0.6268140721420238---uiqm_va: 0.688972350519279---uciqe_va:28.81415338513368
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[10]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.688389552849685---Ssim_score:0.6287010026513994---uiqm_va: 0.68476950920549---uciqe_va:28.547573445107346
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[11]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.63552117955181---Ssim_score:0.6285807524214889---uiqm_va: 0.7172944147906912---uciqe_va:28.91438842608438
